filename,width,height,class,xmin,ymin,xmax,ymax
3321_018.jpg,1067,600,Kk4-1_2,42,1,224,548
3321_018.jpg,1067,600,Kk4-3_7,213,44,838,550
3321_018.jpg,1067,600,Kk4-8_13,816,20,1067,546
3275_036.jpg,1067,600,Kk4-17_18,1,25,74,434
3275_036.jpg,1067,600,Kk4-19,24,57,113,420
3275_036.jpg,1067,600,Kk4-20,75,9,175,435
3275_036.jpg,1067,600,Kk4-21_22,135,38,293,442
3275_036.jpg,1067,600,Kk4-23_26,261,62,551,438
3275_036.jpg,1067,600,Kk4-27,543,52,674,436
3275_036.jpg,1067,600,Kk4-28,648,39,769,435
3275_036.jpg,1067,600,Kk4-29,747,70,812,448
3275_036.jpg,1067,600,Kk4-30,793,69,878,444
3275_036.jpg,1067,600,Kk4-30,855,89,920,443
3275_036.jpg,1067,600,Kk4-32,896,90,989,436
7746_028.jpg,338,600,Aa6-24,23,118,90,505
7746_028.jpg,338,600,Aa6-25,54,123,122,495
7746_028.jpg,338,600,Aa6-26,99,124,168,505
7746_028.jpg,338,600,Aa6-27,138,74,201,502
7746_028.jpg,338,600,Aa6-28,193,95,256,495
7746_028.jpg,338,600,Aa6-29,232,115,314,497
3081_026.jpg,338,600,Aa6-6,2,123,89,530
3081_026.jpg,338,600,Aa6-7,78,109,118,512
3081_026.jpg,338,600,Aa6-8,115,102,163,515
3081_026.jpg,338,600,Aa6-9,164,169,238,508
3081_026.jpg,338,600,Aa6-10,234,153,266,509
7743_049.jpg,1067,600,Aa6-11_13,100,57,419,504
7743_049.jpg,1067,600,Aa6-14_17,383,98,771,527
7743_049.jpg,1067,600,Aa6-18_23,763,27,1067,541
7743_049.jpg,1067,600,Aa6-18_23,65,52,162,479
7743_049.jpg,1067,600,Aa6-9,9,70,120,484
3275_018.jpg,1067,600,Kk4-3_7,2,185,374,568
3275_018.jpg,1067,600,Kk4-8_13,343,164,717,577
3275_018.jpg,1067,600,Kk4-14,693,158,846,596
3275_018.jpg,1067,600,Kk4-15_16,829,214,938,600
3275_018.jpg,1067,600,Kk4-17_18,906,208,991,600
3275_018.jpg,1067,600,Kk4-19,972,246,1053,600
3081_017.jpg,338,600,Aa6-6,32,118,88,470
3081_017.jpg,338,600,Aa6-7,88,109,116,471
3081_017.jpg,338,600,Aa6-8,115,102,159,474
3081_017.jpg,338,600,Aa6-9,161,159,231,476
